"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage","reference","specificity","n_donors","donors_positive","donor_support","median_donor_effect"
1.14861543441282e-07,0.787645021459573,0.639,0.494,0.00385222644393372,"EEF1A2","identity","migrating+mature",0.145,NA,NA,NA,NA
1.2479984673086e-07,0.681817989477046,0.771,0.671,0.00418553725965958,"PRKACB","identity","migrating+mature",0.1,NA,NA,NA,NA
1.72109856422576e-07,2.70176158177406,0.126,0.019,0.00577222036470037,"SLC35F4","identity","migrating+mature",0.107,NA,NA,NA,NA
1.88252100693441e-07,1.34862934033583,0.349,0.184,0.00631359895305664,"TTYH1","identity","migrating+mature",0.165,NA,NA,NA,NA
1.984804022667e-07,1.18511875285438,0.396,0.222,0.0066566357312206,"VGF","identity","migrating+mature",0.174,NA,NA,NA,NA
2.00214005408076e-07,0.460869554240772,0.862,0.804,0.00671477731337604,"TMEM167A","identity","migrating+mature",0.0579999999999999,NA,NA,NA,NA
2.07933472943109e-07,0.369934660791883,0.956,0.889,0.006973672815566,"MGST3","identity","migrating+mature",0.067,NA,NA,NA,NA
2.42008998854459e-07,1.70170912253067,0.208,0.07,0.00811649780358084,"CDH4","identity","migrating+mature",0.138,NA,NA,NA,NA
3.49924240855208e-07,2.22475733250983,0.155,0.038,0.011735759189802,"CDK6","identity","migrating+mature",0.117,NA,NA,NA,NA
3.97349493368144e-07,0.784140404997198,0.513,0.329,0.0133263073085808,"SETBP1","identity","migrating+mature",0.184,NA,NA,NA,NA
4.33833860162561e-07,1.71242586016257,0.273,0.123,0.014549920002132,"PRKCB","identity","migrating+mature",0.15,NA,NA,NA,NA
5.16232874892893e-07,0.343400563523361,0.968,0.953,0.0173134181581578,"TXN","identity","migrating+mature",0.015,NA,NA,NA,NA
6.29932123532393e-07,0.819183113829516,0.704,0.636,0.0211266635590294,"PBX3","identity","migrating+mature",0.068,NA,NA,NA,NA
6.87794978257342e-07,3.1826840474551,0.117,0.019,0.0230672679807947,"GRIN2B","identity","migrating+mature",0.098,NA,NA,NA,NA
1.19311764978402e-06,0.742707704102223,0.833,0.756,0.0400147797384565,"VIM","identity","migrating+mature",0.077,NA,NA,NA,NA
1.30060539896228e-06,0.885220805515545,0.56,0.421,0.0436197038703971,"SLCO3A1","identity","migrating+mature",0.139,NA,NA,NA,NA
1.36126130935396e-06,1.91930692386047,0.235,0.101,0.045653981793113,"BTBD17","identity","migrating+mature",0.134,NA,NA,NA,NA
1.43274346386104e-06,1.2563729650778,0.311,0.165,0.0480513502909715,"AC007938.3","identity","migrating+mature",0.146,NA,NA,NA,NA
1.89454542980763e-06,1.70619361800112,0.167,0.051,0.0635392646248884,"RASGEF1B","identity","migrating+mature",0.116,NA,NA,NA,NA
2.14562032518467e-06,0.303338634890854,0.918,0.899,0.0719598144660436,"FEZ1","identity","migrating+mature",0.019,NA,NA,NA,NA
2.3782534645758e-06,1.63989014573235,0.161,0.047,0.0797618646949432,"SH3KBP1","identity","migrating+mature",0.114,NA,NA,NA,NA
2.83473324995661e-06,1.70028489173609,0.191,0.07,0.0950712837370449,"TIAM2","identity","migrating+mature",0.121,NA,NA,NA,NA
4.95049320487193e-06,0.254605472240846,0.991,0.997,0.166029641104995,"PPDPF","identity","migrating+mature",-0.006,NA,NA,NA,NA
6.08988908797358e-06,1.03488522228131,0.372,0.222,0.204242700232458,"FAT3","identity","migrating+mature",0.15,NA,NA,NA,NA
6.17372128286033e-06,1.13900209734016,0.32,0.177,0.20705426438457,"GADD45G","identity","migrating+mature",0.143,NA,NA,NA,NA
7.50527741981353e-06,0.767310685201177,0.516,0.373,0.251711994105706,"BCL11A","identity","migrating+mature",0.143,NA,NA,NA,NA
7.82825850694979e-06,1.47505262860408,0.229,0.101,0.262544133806082,"CRABP2","identity","migrating+mature",0.128,NA,NA,NA,NA
7.99749064330058e-06,2.58847635739947,0.114,0.025,0.268219841195015,"TMEM74B","identity","migrating+mature",0.089,NA,NA,NA,NA
9.0766448220608e-06,1.97475070192539,0.126,0.032,0.304412514042275,"SERTAD4","identity","migrating+mature",0.094,NA,NA,NA,NA
9.49686808885814e-06,0.798384030582274,0.24,0.104,0.318505961964124,"TMEFF2","identity","migrating+mature",0.136,NA,NA,NA,NA
1.36178631739919e-05,0.622200800558294,0.569,0.418,0.456715895129341,"FAAP20","identity","migrating+mature",0.151,NA,NA,NA,NA
1.43706768205526e-05,0.872940763590846,0.434,0.291,0.481963759207692,"NRXN3","identity","migrating+mature",0.143,NA,NA,NA,NA
1.50044938416772e-05,0.671455280183484,0.595,0.478,0.503220714462168,"GNAO1","identity","migrating+mature",0.117,NA,NA,NA,NA
1.52589871808363e-05,1.63967947848023,0.144,0.044,0.511755912070888,"TIMP1","identity","migrating+mature",0.1,NA,NA,NA,NA
1.79284730076934e-05,1.85666331542453,0.126,0.035,0.601285127732021,"RGS7BP","identity","migrating+mature",0.091,NA,NA,NA,NA
1.80411982145656e-05,0.631702008417861,0.513,0.358,0.6050657057201,"C18orf32","identity","migrating+mature",0.155,NA,NA,NA,NA
