gene	avg_log2FC	p_val_adj	method_support	pct.1	pct.2	specificity	pct1	pct2	spec	coexpr	coexpr_flag	score
Mgst3	0.896147106255633	0.0135395356710178	1	0.413793103448276	0.2395	0.174293103448276	0.413793103448276	0.2395	0.174293103448276	0.241294006241053	TRUE	0.0168044045799366
Rps15	0.523549758034481	0.0197218666983117	1	0.816091954022989	0.636	0.180091954022988	0.816091954022989	0.636	0.180091954022988	0.28390539971401	TRUE	0.0167618108376183
Hypk	0.918791884548464	0.00179232067711142	1	0.591954022988506	0.3945	0.197454022988506	0.591954022988506	0.3945	0.197454022988506	0.172156462195469	TRUE	0.0166561995682828
Timm8b	0.628612176896565	0.00171854542376906	1	0.724137931034483	0.5305	0.193637931034483	0.724137931034483	0.5305	0.193637931034483	0.229762706348133	TRUE	0.0164963883023959
Ndufc1	0.775212542220951	6.01091713181853e-05	1	0.752873563218391	0.558	0.194873563218391	0.752873563218391	0.558	0.194873563218391	0.180280020113647	TRUE	0.0163797700052657
Tuba1a	0.54213686977317	0.000994660160215309	1	0.908045977011494	0.77	0.138045977011494	0.908045977011494	0.77	0.138045977011494	0.331207378330206	TRUE	0.0163723900314677
1700086L19Rik	1.68878280058912	2.90748472388789e-08	1	0.339080459770115	0.134	0.205080459770115	0.339080459770115	0.134	0.205080459770115	0.116528688330392	TRUE	0.0162895009886313
Fkbp2	0.665213571813066	0.0015096194316803	1	0.764367816091954	0.56	0.204367816091954	0.764367816091954	0.56	0.204367816091954	0.196890423666292	TRUE	0.0162208966070629
Lamc2	4.41663278998065	2.82839052568424e-12	1	0.0747126436781609	0.0055	0.0692126436781609	0.0747126436781609	0.0055	0.0692126436781609	0.276882346861741	TRUE	0.0160359432608071
Gm19412	1.35992367002285	0.00015517395143528	1	0.218390804597701	0.082	0.136390804597701	0.218390804597701	0.082	0.136390804597701	0.266346949417653	TRUE	0.0160025792449706
Scg3	0.741956916016182	0.028778759277574	1	0.591954022988506	0.394	0.197954022988506	0.591954022988506	0.394	0.197954022988506	0.200062380436033	TRUE	0.015670321286955
Doc2b	1.21920097705184	0.000489258835072873	1	0.235632183908046	0.095	0.140632183908046	0.235632183908046	0.095	0.140632183908046	0.270755552390736	TRUE	0.0156199687201247
Pbx3	1.02301145013924	2.06342203178133e-05	1	0.264367816091954	0.1025	0.161867816091954	0.264367816091954	0.1025	0.161867816091954	0.259548380541369	TRUE	0.0153175419386301
Pld5	1.42882366684447	9.35194485083305e-06	1	0.241379310344828	0.088	0.153379310344828	0.241379310344828	0.088	0.153379310344828	0.200526619081866	TRUE	0.0149655585220096
Clstn2	1.21265491843607	4.80122484859753e-11	1	0.408045977011494	0.1565	0.251545977011494	0.408045977011494	0.1565	0.251545977011494	0.110116247931367	TRUE	0.0148725701073424
Mcoln3	6.89382030043671	5.75128296381408e-17	1	0.0517241379310345	5e-04	0.0512241379310345	0.0517241379310345	5e-04	0.0512241379310345	0.266256080485996	TRUE	0.01482198068438
Gm14004	1.81170646049498	5.71684466820239e-08	1	0.235632183908046	0.0755	0.160132183908046	0.235632183908046	0.0755	0.160132183908046	0.151584710593858	TRUE	0.0147966916595436
Shtn1	0.988550086074134	0.00642820959674191	1	0.413793103448276	0.2405	0.173293103448276	0.413793103448276	0.2405	0.173293103448276	0.193690330678646	TRUE	0.0147946598103862
Gm1673	0.794649204038164	4.89920256742186e-08	1	0.770114942528736	0.4985	0.271614942528736	0.770114942528736	0.4985	0.271614942528736	0.112298683254358	TRUE	0.0147437178499674
Ndufa1	0.672533448194613	0.000597854938802571	1	0.683908045977011	0.4545	0.229408045977011	0.683908045977011	0.4545	0.229408045977011	0.164333760578676	TRUE	0.0145336148085754
Gm38165	2.43614951885984	1.44987858247277e-08	1	0.120689655172414	0.022	0.0986896551724138	0.120689655172414	0.022	0.0986896551724138	0.250459559357656	TRUE	0.0145001891537703
Pnmal2	0.7955115263685	2.06279525746652e-06	1	0.775862068965517	0.545	0.230862068965517	0.775862068965517	0.545	0.230862068965517	0.128163007507278	TRUE	0.0143707512273707
2300009A05Rik	0.898872624757271	0.000449419820572771	1	0.459770114942529	0.2485	0.211270114942529	0.459770114942529	0.2485	0.211270114942529	0.161000055912165	TRUE	0.0143700434072712
1500009C09Rik	1.03040727236597	2.66691881994048e-07	1	0.494252873563218	0.247	0.247252873563218	0.494252873563218	0.247	0.247252873563218	0.113592448172864	TRUE	0.0141026193884955
Mrps12	0.674529182996829	0.011716106821592	1	0.609195402298851	0.3995	0.209695402298851	0.609195402298851	0.3995	0.209695402298851	0.1812186059614	TRUE	0.01386743717427
Cystm1	0.66298840062683	0.0193733180591536	1	0.609195402298851	0.4005	0.208695402298851	0.609195402298851	0.4005	0.208695402298851	0.183392735913336	TRUE	0.0137279190833466
Junb	0.915195203948482	6.58891301331927e-06	1	0.419540229885057	0.2095	0.210040229885057	0.419540229885057	0.2095	0.210040229885057	0.153268917705971	TRUE	0.0132276464381905
Spa17	1.47515971507361	0.00176150608263941	1	0.172413793103448	0.0615	0.110913793103448	0.172413793103448	0.0615	0.110913793103448	0.28044579555926	TRUE	0.0132064167901016
Nsg2	0.711394185872843	4.13226331225727e-05	1	0.683908045977011	0.446	0.237908045977011	0.683908045977011	0.446	0.237908045977011	0.135620925191588	TRUE	0.0131574116291084
Hap1	0.58078949350715	6.64776506355028e-05	1	0.827586206896552	0.572	0.255586206896552	0.827586206896552	0.572	0.255586206896552	0.14001433528901	TRUE	0.0131057159224095
Bex1	0.641235300358937	2.90845920404752e-08	1	0.775862068965517	0.463	0.312862068965517	0.775862068965517	0.463	0.312862068965517	0.106067319684387	TRUE	0.0129918097143806
Nrsn1	0.701743559620173	9.20668230578596e-05	1	0.637931034482759	0.397	0.240931034482759	0.637931034482759	0.397	0.240931034482759	0.138490385009381	TRUE	0.012962928625334
P4hb	1.00621325594872	0.000631700212586606	1	0.385057471264368	0.2	0.185057471264368	0.385057471264368	0.2	0.185057471264368	0.161173408372523	TRUE	0.0129085745208368
Cacnb4	1.17354509152124	0.000779241917204875	1	0.494252873563218	0.274	0.220252873563218	0.494252873563218	0.274	0.220252873563218	0.102477024772928	TRUE	0.0129076724198375
Atf5	1.37921473005363	0.0265350993084029	1	0.17816091954023	0.0715	0.10666091954023	0.17816091954023	0.0715	0.10666091954023	0.295986469983352	TRUE	0.0127391588574011
Kctd9	2.06145109416689	0.00121271294594595	1	0.137931034482759	0.0425	0.0954310344827586	0.137931034482759	0.0425	0.0954310344827586	0.246421801517441	TRUE	0.0124795306990437
H2bu2	0.843639325315445	0.0019673439752613	1	0.419540229885057	0.229	0.190540229885057	0.419540229885057	0.229	0.190540229885057	0.171194928678748	TRUE	0.0123551113240271
Rnf220	0.899604074916982	0.000364511971853548	1	0.482758620689655	0.2765	0.206258620689655	0.482758620689655	0.2765	0.206258620689655	0.138020698245857	TRUE	0.0123338375289431
Prph	3.841789787576	1.33727513478944e-05	1	0.0632183908045977	0.008	0.0552183908045977	0.0632183908045977	0.008	0.0552183908045977	0.330933887052217	TRUE	0.0122350504307081
Spock1	0.685638487406246	0.0282210962024156	1	0.482758620689655	0.286	0.196758620689655	0.482758620689655	0.286	0.196758620689655	0.18488979500623	TRUE	0.012012471724993
Tmsb10	0.681978246119863	0.00525352102604429	1	0.78735632183908	0.6325	0.15485632183908	0.78735632183908	0.6325	0.15485632183908	0.184182856629117	TRUE	0.0119635422117349
Dlx6	1.58320007749388	3.82260906717965e-07	1	0.201149425287356	0.0605	0.140649425287356	0.201149425287356	0.0605	0.140649425287356	0.169660396107427	TRUE	0.0117446235272826
Npm1	0.533903656695758	0.0446426823939417	1	0.735632183908046	0.54	0.195632183908046	0.735632183908046	0.54	0.195632183908046	0.187141226472945	TRUE	0.0116205983752718
Immp1l	0.748022932675781	0.0097003733434539	1	0.431034482758621	0.245	0.186034482758621	0.431034482758621	0.245	0.186034482758621	0.183017023914227	TRUE	0.0115899435626256
Rit2	0.695563217231973	1.46432079183923e-05	1	0.660919540229885	0.41	0.250919540229885	0.660919540229885	0.41	0.250919540229885	0.117833850491222	TRUE	0.0115888653598315
Tac1	0.782029040260547	0.00874077329426498	1	0.310344827586207	0.1565	0.153844827586207	0.310344827586207	0.1565	0.153844827586207	0.248840259640859	TRUE	0.011560434109599
Olah	4.43381317162887	4.32017035726613e-11	1	0.0574712643678161	0.003	0.0544712643678161	0.0574712643678161	0.003	0.0544712643678161	0.287559510624093	TRUE	0.0115404679190508
Mymk	4.42576672485009	4.52677113321639e-11	1	0.0632183908045977	0.004	0.0592183908045977	0.0632183908045977	0.004	0.0592183908045977	0.250488197592948	TRUE	0.0114414105134101
Gm16150	5.48501820450323	3.11978421404408e-17	1	0.0574712643678161	0.001	0.0564712643678161	0.0574712643678161	0.001	0.0564712643678161	0.216937497183772	TRUE	0.0111658309176149
Ndufb4	0.906030266578805	2.89136971141755e-06	1	0.586206896551724	0.334	0.252206896551724	0.586206896551724	0.334	0.252206896551724	0.0913381389327961	TRUE	0.0110765049286487
Nagk	0.980950121123928	1.83101136815212e-06	1	0.522988505747126	0.286	0.236988505747126	0.522988505747126	0.286	0.236988505747126	0.0941837000827819	TRUE	0.0109754286027966
Scn9a	0.999836379230513	2.34649577934964e-06	1	0.488505747126437	0.2505	0.238005747126437	0.488505747126437	0.2505	0.238005747126437	0.0943513726357955	TRUE	0.0108773950361385
Nrn1l	2.01205330679423	0.000663005710814661	1	0.0862068965517241	0.018	0.0682068965517241	0.0862068965517241	0.018	0.0682068965517241	0.379585003111317	TRUE	0.0106016456467951
Ppp1r11	0.654342852226654	0.0339705317751049	1	0.620689655172414	0.4195	0.201189655172414	0.620689655172414	0.4195	0.201189655172414	0.147085692206698	TRUE	0.0105741179953189
Kcng4	5.56849188173674	8.87565785204651e-15	1	0.0517241379310345	0.001	0.0507241379310345	0.0517241379310345	0.001	0.0507241379310345	0.235574975207456	TRUE	0.0104894691828562
Cox4i1	0.571292077090944	1.25041982271396e-05	1	0.913793103448276	0.717	0.196793103448276	0.913793103448276	0.717	0.196793103448276	0.139523497360116	TRUE	0.0103935719971804
Rheb	0.727754160617873	6.60760492073985e-05	1	0.752873563218391	0.5085	0.244373563218391	0.752873563218391	0.5085	0.244373563218391	0.0968670991619218	TRUE	0.0103610005647089
